,cleaned_text,label
0,cdc currently report death general discrepancy death count different source small explicable death toll stand roughly people today,real
1,state report death small rise tuesday southern state report death,real
2,politically correct woman use pandemic excuse reuse plastic bag hashtagcoronavirus hashtagnashville,fake
3,hashtagindiafightscorona hashtagcovid testing laboratory india th august test dg hashtagstaysafe hashtagindiawillwin,real
4,populous state generate large case count look new case million today small state show case million california texas al ar d ks ky la ms nv sc,real
5,covid act find average person illinois covid infect people datum show infection growth rate decline time factor stayathome order restriction place,real
6,test positive hashtagcovid symptom stay home away people learn cdc recommendation covid infection,real
7,obama call trump coronavirus response chaotic disaster,fake
8,clearly obama administration leave kind game plan like,fake
9,retractionhydroxychloroquine chloroquine macrolide treatment covid multinational registry analysis lancet,fake
10,simple daily precaution help prevent spread respiratory illness like hashtagcovid learn protect coronavirus covid,real
11,nba poise restart month march report utah jazz get coronavirus test matter hour time test sluggish,fake
12,announce participant age cohort dose phase study mrna vaccine mrna novel coronavirus read hashtagmrna,real
13,hashtagcoronavirusupdate hashtagindiafightscorona lakh test rd successive day cumulative testing date reach hashtagcovid test million tpm cross,real
14,protect hashtagcovid public transportation practice social distancing avoid touch surface practice hand hygiene learn,real
15,august till total hashtagcovid positive case hashtagcovid related death hashtagmanipur hashtagcovid hashtagcovid hashtagcovidindia hashtagcovidupdate hashtagcoronaupdate hashtagcorona hashtagcoronavirus hashtagcoronavirusindia hashtagcoronavirusupdate hashtagcoronaviruspandemic,real
16,donald trump negligence incompetence people die nearly million case covid million americans work pat unbelievable,fake
17,hashtagindiafightscorona india continue scale new peak hashtagcovid test lakh sample test daily consecutive day country achieve level high daily testing,real
18,announce ship vial mrna company vaccine novel coronavirus nih plan phase study,real
19,multiple facebook post claim aussie fine find talk conspiracy post include screenshot segment australian breakfast television evidence claim,fake
20,nobel prize laureate tasuku honjo coronavirus natural post facebook claim fact professor honjo say greatly sadden spread misinformation late hashtagcoronacheck,fake
21,nz covid tracker app remain important useful alert level people encourage download app similar record go,real
22,break news hashtagthe president cryill ramaphosa ask foreign nation depart south africa june increase case covid,fake
23,delight high uppermiddle country economy confirm participate covax facility number grow urge join th september hashtagcovid,real
24,intriguing possibility mood change anxiety function invasion hashtagcoronavirus cns brain,real
25,elon musck new baby job kid hashtagchristmas hashtagcovid hashtagelonmusk hashtagachristmascarol,fake
26,new alcoholfree sanitizer develop dedan kimathi university kenya,fake
27,appendix b gather state order test huge chunk work go appendix d evaluation accessibility cdc data tracker,real
28,yesterday laboratory complete test test people manage isolation quarantine routine testing day stay bring total number test complete date,real
29,reuse hashtagn mask nih find vaporized hydrogen peroxide uv light heat effective sanitizer hashtagcoronavirus,real
30,shift focus different moment hashtagcoronavirusoutbreak update run timeline response virus reply recent trump moment think belong run list,fake
31,doctor image president donald trump share claim ask people chant hare krishna hare rama,fake
32,hashtagfourthofjuly weekend choose spend time outdoors event gather stay ft apart wear cloth face cover slow spread hashtagcovid learn,real
33,cdc recommend mother stop breastfeed boost vaccine efficacy,fake
34,singapore airline hault flight coronavirus outbreak,fake
35,florida governor ron desantis botch covid response ban corona beer order flatten pandemic curve,fake
36,apologise government ekiti state error remain committed improve quality control process ensure accurate transparent reporting case,real
37,nyt invent video doctor fight coronavirus hospital,fake
38,break k case day today south report,real
39,alert americans coronavirus symptom ask cough directly president trump,fake
40,launch hashtagcovid solidarity response fund far mobilize m individual company philanthropy addition mobilize billion member state generous support country,real
41,football player cristiano ronaldo turn hotel hospital help coronavirus patient pay doctor staff,fake
42,include test asymptomatic worker involve manage isolation quarantine airport border staff wide surveillance measure expect operational early july,real
43,want national lockdown hashtagcoronavirus continue progress uk pm say govt measure insist want second national lockdown read,real
44,daily update publish state report k test k case death,real
45,hashtagindiafightscorona new recovery india exceed new case consecutive day hashtagcovid,real
46,state high active caseload one presently report high level recovery,real
47,currently people manage isolation quarantine current effective capacity give excess capacity week project arrival departure facility,real
48,school struggle cope lack hashtagcovid test new infection increase compulsory pupil return child test virus explainer backhandindexpointingdown,real
49,scientist astrazeneca complain work coronavirus vaccine keeps delay noddy holder ring ask ready christmas,fake
50,mask help prevent spread hashtagcovid widely public wear mask help protect wear help protect people incl hashtagwearamask hashtagdoyourpart hashtagworldmaskweek,real
51,new case hashtagcovidnigeria lago gombe plateau kwara enugu ogun katsina ekiti bauchi osun river confirm discharged death,real
52,coronavirus simple test,fake
53,rt hashtagindiafightscorona high number sustain recovery india surge ahead high single day recovery nearl,real
54,italy surrender coronavirus pandemic measure control covid exhaust,fake
55,president trump forced wear protective medical mask hashtagdonaldtrump hashtagcoronavirus hashtagcia hashtagfbi hashtagiud,fake
56,rt coronavirus misinformation move offline reddit user post flyer site tell delive,fake
57,orwell dead living bridge continue hashtaggovernment hashtagtoiletpaper hashtaggeorgeorwell hashtagcoronavirus,fake
58,resident york ask think new government rule allow people england hashtagcovid fine fail selfisolate read click,real
59,central government give permission school reopen,fake
60,today total approve lab hashtagcovid testing consist govt pvt lab hashtagcovidteste hashtagcovid hashtagcovid hashtagcovid hashtagcovid hashtagcovidindia hashtagcovidupdate hashtagcoronavirus hashtagcoronaupdate hashtagcoronavirusindia,real
61,government come pressure lack availability hashtagcovid test read,real
62,few kid die lockdown new white paper examine,fake
63,million case hashtagcovid report death country affect continue intense transmission relatively small group country,real
64,justin trudeau resign amidst coronavirus pandemic,fake
65,george soros people responsible new coronavirus bear laboratory,fake
66,sensitivity test definitely specialist talk see real number haven look hard thing,real
67,expert claim cow dungurine yoga ayush prevent treat covid,fake
68,main mode transmission hashtagnovel hashtagcoronavirus droplet possible infect smoker blow droplet carry virus exhale regardless hashtagcovid steer clear secondhand smoke cause health problem,real
