,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,cleaned_text,label
0,0,0,0,0,the cdc currently reports deaths in general discrepancies death counts different sources are small explicable the death toll stands roughly people today,real
1,1,1,1,1,states reported deaths small rise last tuesday southern states reported deaths,real
2,2,2,2,2,politically correct woman almost uses pandemic excuse not reuse plastic bag hashtag_coronavirus hashtag_nashville,fake
3,3,3,3,3,hashtag_indiafightscorona we have hashtag_covid testing laboratories india th august tests have done dg hashtag_staysafe hashtag_indiawillwin,real
4,4,4,4,4,populous states can generate large case counts look new cases per million today smaller states are showing cases per million california texas al ar id ks ky la ms nv sc,real
5,5,5,5,5,covid act now found average person illinois with covid is infecting people data shows infection growth rate has declined time factors stayathome order restrictions put place,real
6,6,6,6,6,if tested positive hashtag_covid have symptoms stay home away people learn cdc recommendations can around others covid infection,real
7,7,7,7,7,obama calls trump coronavirus response a chaotic disaster,fake
8,8,8,8,8,clearly obama administration did leave kind game plan something like,fake
9,9,9,9,9,retractionhydroxychloroquine chloroquine with without macrolide treatment covid multinational registry analysis the lancet,fake
10,10,10,10,10,take simple daily precautions help prevent spread respiratory illnesses like hashtag_covid learn protect coronavirus covid,real
11,11,11,11,11,the nba is poised restart month in march reported utah jazz got coronavirus tests matter hours time us testing sluggish,fake
12,12,12,12,12,we announced first participants age cohort have dosed phase study mrna vaccine mrna against novel coronavirus read hashtag_mrna,real
13,13,13,13,13,hashtag_coronavirusupdates hashtag_indiafightscorona more lakh tests done rd successive day cumulative testing date has reached hashtag_covid tests per million tpm cross,real
14,14,14,14,14,protect others hashtag_covid using public transportation practice social distancing avoid touching surfaces practice hand hygiene learn,real
15,15,15,15,15,as august am till have total hashtag_covid positive cases amp hashtag_covid related deaths hashtag_manipur hashtag_covid hashtag_covid hashtag_covidindia hashtag_covidupdates hashtag_coronaupdates hashtag_corona hashtag_coronavirus hashtag_coronavirusindia hashtag_coronavirusupdates hashtag_coronaviruspandemic,real
