source,cleaned_text
CFN,cdc currently report death general discrepancy death count different source small explicable death toll stand roughly people today
CFN,state report death small rise last tuesday southern state report death
CFN,politically correct woman almost use pandemic excuse reuse plastic bag hashtag_coronavirus hashtag_nashville
CFN,hashtag_indiafightscorona hashtag_covid testing laboratory india th august test do dg hashtag_staysafe hashtag_indiawillwin
CFN,populous state generate large case count look new case per million today small state show case per million california texas al ar i d ks ky la ms nv sc
CFN,covid act find average person illinois covid infect people datum show infection growth rate decline time factor stayathome order restriction put place
CFN,test positive hashtag_covid symptom stay home away people learn cdc recommendation around other covid infection
CFN,obama call trump coronavirus response chaotic disaster
CFN,clearly obama administration leave kind game plan something like
CFN,retractionhydroxychloroquine chloroquine without macrolide treatment covid multinational registry analysis lancet
CFN,take simple daily precaution help prevent spread respiratory illness like hashtag_covid learn protect coronavirus covid
CFN,nba poise restart month march report utah jazz get coronavirus test matter hour time we test sluggish
CFN,announce first participant age cohort dose phase study mrna vaccine mrna novel coronavirus read hashtag_mrna
CFN,hashtag_coronavirusupdate hashtag_indiafightscorona lakh test do rd successive day cumulative testing date reach hashtag_covid test per million tpm cross
CFN,protect other hashtag_covid use public transportation practice social distancing avoid touch surface practice hand hygiene learn
CFN,august till total hashtag_covid positive case hashtag_covid relate death hashtag_manipur hashtag_covid hashtag_covid hashtag_covidindia hashtag_covidupdate hashtag_coronaupdate hashtag_corona hashtag_coronavirus hashtag_coronavirusindia hashtag_coronavirusupdate hashtag_coronaviruspandemic
CFN,donald trump negligence incompetence people die nearly million case covid million americans work yet pat back unbelievable
CFN,hashtag_indiafightscorona india continue scale new peak hashtag_covid test lakh sandle test daily consecutive day country achieve level high daily testing
CFN,announce ship vial mrna company vaccine novel coronavirus nih use plan phase study we
CFN,multiple facebook post claim aussie fine find talk conspiracy post include screenshot segment australian breakfast television show evidence claim
CFN,nobel prize laureate tasuku honjo say coronavirus natural post facebook claim fact professor honjo say greatly sadden name use spread misinformation late hashtag_coronacheck
CFN,nz covid tracker app remain important useful alert level people encourage download app similar one keep record go
CFN,break news hashtag_president cryill ramaphosa ask foreign nation depart south africa june due increase case covid
CFN,delight high uppermiddle country economy confirm participate covax facility number grow urge yet join th september hashtag_covid
CFN,intriguing possibility mood change anxiety may function invasion hashtag_coronavirus cns brain
CFN,elon musck new baby get job kid hashtag_christmas hashtag_covid hashtag_elonmusk hashtag_achristmascarol
CFN,new alcoholfree sanitizer develop dedan kimathi university kenya
CFN,appendix b gather state order test huge chunk work go appendix evaluation accessibility cdc data tracker
CFN,yesterday laboratory complete test test people manage isolation quarantine routine testing either day stay bring total number test complete date
CFN,reuse hashtag_n mask nih find vaporized hydrogen peroxide uv light heat effective sanitizer hashtag_coronavirus
