cleaned_text,label
chinese pneumonia information hashtageastasiavirus,discussion_of_eastasian_prejudice
renowned legco idiot priscilla probably blame hashtagvirusothercountry hker,discussion_of_eastasian_prejudice
sign outside japanese store ban chinese customer hongkong taiwanese order prevent hashtagvirus outbreak japan hashtageastasiavirus,discussion_of_eastasian_prejudice
rt refer seafood poultry market koalas snakes palm civet giant salamander dog crocodile centipede turtle otter strange form seafood poultry hashtageastasia hashtageastasiavirus hashtageastasiavirus,discussion_of_eastasian_prejudice
wonder come hashtageastasiavirus come animal,discussion_of_eastasian_prejudice
hashtageastasiavirus doesn mean accept insult word especially netizen try use chance expand gap china mainland hong kong calm,discussion_of_eastasian_prejudice
good time change brand chinese hashtageastasiavirus hashtagvirus,discussion_of_eastasian_prejudice
rt break emerge disease important outbreak accurately report break threat endanger wildlife cruelty animal wet market unacceptable woke cover disease outbreak china racist actually,discussion_of_eastasian_prejudice
rt find cure hashtagvirus get wrong maybe time l r maybe colonavirus lacistbastard,discussion_of_eastasian_prejudice
spread world see hashtageastasiavirus twitter yo ask dinner today event cancel student hear chinese france annoy say virus,discussion_of_eastasian_prejudice
kung flu racist korean raise caucasian americans sure cross line folk oriental daughter lol kind ppl die kungflufighter pretty awesome,discussion_of_eastasian_prejudice
rt joke ask global citizen use hashtageastasiavirus hashtageastasiavirus order prevent label hashtageastasia pay hashtagvirus hashtagvirus,discussion_of_eastasian_prejudice
travel local crowded like hell mumbai want seat shout hell friend return china go destination sleep local hashtageastasiavirus hashtagvirus,discussion_of_eastasian_prejudice
rt zeka america virus ebola congo virus meantime ncov hashtageastasiavirus tell wonderful name art interesting,discussion_of_eastasian_prejudice
excuse hashtagvirus fear trigger antichina sentiment gobe rise antichinese sentiment call travel ban hashtageastasia indignitie hashtageastasiavirus hashtageastasiavirus,discussion_of_eastasian_prejudice
music video rap albeit share good information okay kick hashtageastasia hashtageastasiavirus oversensitivity principle issue,discussion_of_eastasian_prejudice
fear coronavirus fuel racist sentiment target chinese respond hashtageastasiavirus hashtagvirus,discussion_of_eastasian_prejudice
hashtageastasia leak virus mention hashtageastasia visit country spread virus world use japanese encephalitis german measle use hashtageastasiavirus hashtageastasia hashtageastasiavirus,discussion_of_eastasian_prejudice
link expat spend time work chinese medical system discuss chinese govt lie stay safe racism actual racism exist hashtageastasiavirus follow link comment info,discussion_of_eastasian_prejudice
