,cleaned_text,label
0,official death toll hashtag_covid united kingdom greater germany poland switzerland austria portugal greece sweden finland norway ireland combined uk million dead group million dead httpurl,INFORMATIVE
1,dearest mr president coronavirus death hour covid pandemic international crime china nature disasster use authority protect people world china hashtag_chinahastocompensateall,INFORMATIVE
2,latest updates march warning new case new death united states illinois governo pritzker issue stay home order resident new york governor cuomo order non essential worker stay home penns source coronavirus country us,INFORMATIVE
3,break people grand princess cruise ship dock california coast test positive coronavirus include crew member passenger vice pres mike pence say people test negative httpurl httpurl,INFORMATIVE
4,oklahoma city state department education announce monday closure k public school statewide april number covid case climb risk community spread grow httpurl,UNINFORMATIVE
5,democrats manage fight ebola call african virus cluster covid case emerge new york city hassidic neighborhood matter time local trump klux klan start talk jew virus,UNINFORMATIVE
6,number hashtag_covid death surpass worldwide ny surpass italy number record death firefacewithmedicalmaskunitedstate new york state coronavirus case country worldwide httpurl,INFORMATIVE
7,week ago today march case covid fl today count increase week slave trump incompetence imagine saturday increase resign,INFORMATIVE
8,coronavirus impact close taj mahal till march end agra mayor urge people scare foreigner look suspicion situation turn nasty tarnish india image internationally say possible tarnish india httpurl,UNINFORMATIVE
9,dear hashtag_covid case tool machine hashtag_bangladesh money bcoz hashtag_climate fund money steal ruling party httpurl,UNINFORMATIVE
10,los angeles county high number coronavirus case california break impact hashtag_covid la cancel college commencement haphazard health screening lax airport hashtag_cheddarlive httpurl,UNINFORMATIVE
11,hashtag_covid updates hashtag_sothsudan fist positive patient yo dutch arrive country netherlands addis ababa february hashtag_ssot httpurl,INFORMATIVE
12,watch live discussion hashtag_covid union health minister dr harsh vardhan union health secretary ms preeti sudan dg icmr dr balram bhargava httpurl,UNINFORMATIVE
13,coronavirus case africa shoot thousand million month accord provisional modelling regional official say thursday httpurl httpurl httpurl,UNINFORMATIVE
14,accord report come contact test positive covid chance catch s report world health organization long read worth httpurl,UNINFORMATIVE
15,senator urge jeff bezos amazon warehouse worker sick leave hazard pay cnbc senator urge jeff bezos amazon warehouse worker sick leave hazard pay cnbc amazon warehouse worker fear catch coronavirus httpurl httpurl,UNINFORMATIVE
16,professor die contract hashtag_coronavirus book condolence available online soon professor peter sinclair department economics httpurl,INFORMATIVE
17,eu impose entry ban day death toll united states mount death toll italy hashtag_coronavirus crosse spain colombia malaysia canada seal border hashtag_covid hashtag_coronaviruspandemic hashtag_cuarentenanacional hashtag_cuarentenacoronavirus hashtag_coronaalert httpurl,INFORMATIVE
18,sad hear pass away syed mehdi shah brother law cm sindh test positive hashtag_covid allah rest soul peace,INFORMATIVE
19,carma family san jose possibly infect hashtag_coronavirus feb seattle way way case seattle httpurl,INFORMATIVE
20,think president cyril ramaphosa address day monday friday ordeal manshrugge hashtag_covid hashtag_coronavirusinsa hashtag_lockdownsa,UNINFORMATIVE
21,day shout go kevin great coverage covid community response need couple applause med student track positive peep contact httpurl,UNINFORMATIVE
22,don t want argue want racist freak stop call chinese virus disgusting stir bigotry hatred argue people dying hateful hashtag_racist scum stfu hashtag_covid hashtag_coronacrisis,UNINFORMATIVE
23,half uruguay s covid case trace single fashion designer httpurl,UNINFORMATIVE
24,e don happen casala don burst governor oyo state seyi makinde test positive deadly coronavirus day hold political rally state hashtag_coronavirustruth,INFORMATIVE
25,line car long folk demand release migrant hold eloy try stop spread covid human rights groups migrant detention center test positive virus httpurl,INFORMATIVE
26,trump wrong bed election shut virus cdc issue domestic travel advisory coronavirus death double day httpurl,INFORMATIVE
27,hashtag_workplace close month apr curb spread hashtag_covid hashtag_singapore morning hashtag_news need know page april hashtag_sarscovs hashtag_coronaviru hashtag_covip hashtag_independentjournalism hashtag_cambodia httpurl,UNINFORMATIVE
28,kentucky republican rand paul senator test positive covid house member diaz balart r fl mcadams d ut test positive coronavirus early month,INFORMATIVE
29,write fp pen case lift iran sanx hashtag_covid pandemic mark rich smart influential advocate max pressure policy worth reading thought httpurl,UNINFORMATIVE
30,place philly family live general area m travel friend send floor doylestown hospital quarantine central bucks school district shut coronavirus arrive wth,UNINFORMATIVE
