cleaned_text,,label
official death toll hashtag_covid united kingdom is greater germany poland switzerland austria portugal greece sweden finland norway ireland combined uk million dead above group million dead httpurl,INFORMATIVE,
dearest mr president coronavirus deaths us hours covid pandemic is international crime china nature disasster please use authorities protect people world against china hashtag_chinahastocompensateall,INFORMATIVE,
latest updates march warning new cases new deaths united states illinois governo pritzker issues stay home order residents new york governor cuomo orders nonessential workers stay home penns source coronaviruscountryus,INFORMATIVE,
breaking people grand princess cruise ship docked california coast tested positive coronavirus including crew members two passengers vice pres mike pence says people tested negative httpurl httpurl,INFORMATIVE,
oklahoma city the state department education announced monday closure k public schools statewide least april number covid cases climb risk community spread grows httpurl,UNINFORMATIVE,
democrats somehow managed fight ebola without calling african virus a cluster covid cases has emerged new york city is hassidic neighborhood is matter time local trump klux klan starts talking jew virus,UNINFORMATIVE,
number hashtag_covid deaths surpassed worldwide ny surpassed italy number recorded deaths firefacewithmedicalmaskunitedstates new york state has coronavirus cases country worldwide httpurl,INFORMATIVE,
week ago today march were cases covid fl today last count is increase week due slave trump incompetence imagine next saturday is another increasewe will resign,INFORMATIVE,
coronavirus impact close taj mahal till march end agra mayor urges people scared foreigners looked with suspicion situation could turn nasty tarnish india is image internationally said not possible tarnish india httpurl,UNINFORMATIVE,
dear in hashtag_covid case give tools amp machines hashtag_bangladesh money bcoz hashtag_climate fund money stolen ruling party httpurl,UNINFORMATIVE,
los angeles is county with highest number coronavirus cases california breaks impact hashtag_covid la cancelled college commencements haphazard health screenings lax airport hashtag_cheddarlive httpurl,UNINFORMATIVE,
hashtag_covid updates hashtag_sothsudan is fist positive patient is yo dutch arrived country netherlands via addis ababa february hashtag_ssot httpurl,INFORMATIVE,
watch live discussion hashtag_covid with union health minister dr harsh vardhan union health secretary ms preeti sudan amp dg icmr dr balram bhargava httpurl,UNINFORMATIVE,
coronavirus cases africa could shoot thousands million within three six months according provisional modelling regional official said thursday httpurl httpurl httpurl,UNINFORMATIVE,
according report come contact with someone tests positive covid have chance catching well who report the world health organization this is long read worth httpurl,UNINFORMATIVE,
senators urge jeff bezos give amazon warehouse workers sick leave hazard pay cnbc senators urge jeff bezos give amazon warehouse workers sick leave hazard pay cnbc amazon warehouse workers fear catching coronavirus get your httpurl httpurl,UNINFORMATIVE,
a professor has died contracting hashtag_coronavirus a book condolence will available online soon professor peter sinclair department economics httpurl,INFORMATIVE,
eu imposes entry ban days death toll united states mounts death toll italy due hashtag_coronavirus crosses spain colombia malaysia canada seal borders hashtag_covid hashtag_coronaviruspandemic hashtag_cuarentenanacional hashtag_cuarentenacoronavirus hashtag_coronaalert httpurl,INFORMATIVE,
sad hear passing away syed mehdi shah brother law cm sindh he tested positive with hashtag_covid may allah rest soul peace,INFORMATIVE,
carma amp family san jose ca are possibly infected with hashtag_coronavirus since feb seattle way way cases seattle httpurl,INFORMATIVE,
i think president cyril ramaphosa should address us every day monday friday throughout ordeal manshrugging hashtag_covid hashtag_coronavirusinsa hashtag_lockdownsa,UNINFORMATIVE,
day shout goes kevin great coverage covid community responses needs coupled with applause med students are tracking positive peeps contacts httpurl,UNINFORMATIVE,
we don want argue we want racists freaking stop calling it the chinese virus that is disgusting it is stirring bigotry hatred we are arguing and people are dying you are hateful hashtag_racist scum stfu hashtag_covid hashtag_coronacrisis,UNINFORMATIVE,
half uruguay covid cases can traced single fashion designer httpurl,UNINFORMATIVE,
e don happen casala don burst governor oyo state seyi makinde has tested positive deadly coronavirus days holding political rally state hashtag_coronavirustruth,INFORMATIVE,
the line cars seems get longer these folks demand release migrants held eloy try stop spread covid human rights groups say least two migrants detention center tested positive virus httpurl,INFORMATIVE,
trump wrong he bed election shutting virus cdc issues domestic travel advisory coronavirus deaths double within two days httpurl,INFORMATIVE,
most hashtag_workplaces close one month apr curb spread hashtag_covid amp hashtag_singapore morning hashtag_news need know one page april via hashtag_sarscovs hashtag_coronavirus hashtag_covip hashtag_independentjournalism hashtag_cambodia httpurl,UNINFORMATIVE,
kentucky republican rand paul is first us senator tested positive covid house members diazbalart rfl mcadams dut tested positive coronavirus earlier month,INFORMATIVE,
writing fp amp have penned case against lifting iran sanx hashtag_covid pandemic mark rich are two smartest amp influential advocates max pressure policy well worth reading a thoughts httpurl,UNINFORMATIVE,
i have place philly family live general area i traveling friend sent one floor doylestown hospital is quarantined central bucks school district shut coronavirus has arrived wth,UNINFORMATIVE,
on friday aipac announced two attendees had tested positive covid coronavirus mike pence mitch mcconnell were attendance others are self quarantined attendees us why httpurl,INFORMATIVE,
as hashtag_coronavirus spreads democratic republic congo discharges last hashtag_ebola patient httpurl via,UNINFORMATIVE,
the city hashtag_stl will start tracking positive cases hashtag_covid zip code has info morning live city hall hashtag_tisl httpurl,UNINFORMATIVE,
thread join speaks human rights lawyer infectious diseases doctor daisy tagarda gov eyes mass testing suspected covid cases april nbi probes netizens spreading fake news dr tagarda shares story frontlines httpurl,UNINFORMATIVE,
check email visit residence life covid plan details staying checking httpurl httpurl,UNINFORMATIVE,
the lss choices crisis hotline is available help anyone experiencing hashtag_domesticviolence franklin county call love should hurt hashtag_lssnetworkofhope experts fear domestic violence cases could rise coronavirus outbreak httpurl,UNINFORMATIVE,
hashtag_surgeongeneral said will recover hashtag_coronavirusupdates hashtag_coronavirus httpurl if will recover is world economy shutting why did media lie virus has mortality rate it is hashtag_nwo control plan,UNINFORMATIVE,
inside louisiana is horrifying cancer alley mile stretch pollution environmental racism is dealing with highest coronavirus death rates country httpurl james pasley apr pm continued httpurl,UNINFORMATIVE,
issues stay home order issued vt httpurl effective pm today april th please read order businesses are deemed essential hashtag_vermontstrong hashtag_covid hashtag_thankyourgrocers hashtag_thankyournurses hashtag_thankyourdoctors hashtag_stayhome,UNINFORMATIVE,
they are relief hospitals provided federal government federal protocols govern can admitted guess feds are keen ensure noncoronavirus cases get admitted hospitals can put corona patients regular hospitals,UNINFORMATIVE,
st xavier school shivajinagar st lourdes school cubbonpet st lourdes school halasuru ulsoor please share hashtag_covid,UNINFORMATIVE,
usat aipac says pple dc conf attended pence amp others tested positive coronavirus the american israel public affairs committee told conf attendees include lawmakers least confgoers have tested positive covid httpurl,INFORMATIVE,
motorhomes rv s for overworked healthcare workers a thought occurred reading hashtag_healthcare workers are overworked tired shifts b anxious bringing hashtag_covid back families c cases shttpurl,UNINFORMATIVE,
hashtag_australia melbourne gp clinic closed doctor tests positive hashtag_coronavirus seeing patients month abc news httpurl via,INFORMATIVE,
policecarlightsenator loeffler husband sold shares retail stores lululemon tj maxx invested company makes covid protective garments in case governors were still wondering price gouging ppe products hasn haltedfacewithraisedeyebrow httpurl,UNINFORMATIVE,
